Date,Year,Month,MonthName,Account,Category,Note,Type,Amount,SignedAmount
2022-06-01 20:13:00,2022.0,6.0,2022-06,CUB - online payment,Food,Dinner with roommate,Expense,877.81,-877.81
2022-06-01 14:22:00,2022.0,6.0,2022-06,CUB - online payment,Food,Bingo,Expense,10.0,-10.0
2022-06-01 11:48:00,2022.0,6.0,2022-06,CUB - online payment,Transportation,Rapido to pg,Expense,42.0,-42.0
2022-05-01 20:23:00,2022.0,5.0,2022-05,CUB - online payment,Food,McDonald's with company,Expense,211.0,-211.0
2022-05-01 14:46:00,2022.0,5.0,2022-05,CUB - online payment,Other,Lended money returned to vishnu,Expense,40.0,-40.0
2022-05-01 14:42:00,2022.0,5.0,2022-05,CUB - online payment,Other,Lended money returned to kumara,Expense,30.0,-30.0
2022-05-01 14:42:00,2022.0,5.0,2022-05,CUB - online payment,Food,Jan 2nd with shakur and barath,Expense,354.0,-354.0
2022-05-01 14:39:00,2022.0,5.0,2022-05,CUB - online payment,Other,To gobi 1st 1/4th,Expense,500.0,-500.0
2022-05-01 14:37:00,2022.0,5.0,2022-05,CUB - online payment,Other,To abijith and to vicky lend money returned,Expense,500.0,-500.0
2022-05-01 14:35:00,2022.0,5.0,2022-05,CUB - online payment,Transportation,Refund for bus ticket,Expense,60.0,-60.0
2022-05-01 14:30:00,2022.0,5.0,2022-05,CUB - online payment,Food,Lunch with company,Expense,388.0,-388.0
2022-04-01 22:11:00,2022.0,4.0,2022-04,CUB - online payment,Education,Arrear and reval fee,Expense,1400.0,-1400.0
2022-04-01 22:10:00,2022.0,4.0,2022-04,CUB - online payment,Salary,Salary,Income,8000.0,8000.0
2022-04-01 13:53:00,2022.0,4.0,2022-04,CUB - online payment,Food,Lunch with company,Expense,106.0,-106.0
2022-04-01 08:01:00,2022.0,4.0,2022-04,CUB - online payment,Other,To vicky,Expense,80.0,-80.0
2022-04-01 07:58:00,2022.0,4.0,2022-04,CUB - online payment,Food,Sent to preethi,Expense,107.0,-107.0
2022-03-01 22:15:00,2022.0,3.0,2022-03,CUB - online payment,Food,Dairy milk,Expense,10.0,-10.0
2022-03-01 21:54:00,2022.0,3.0,2022-03,CUB - online payment,Other,From barath,Income,201.0,201.0
2022-03-01 21:12:00,2022.0,3.0,2022-03,CUB - online payment,Other,From gpay,Income,5.0,5.0
2022-03-01 21:11:00,2022.0,3.0,2022-03,CUB - online payment,Other,From shakur,Income,140.0,140.0
2022-03-01 14:31:00,2022.0,3.0,2022-03,CUB - online payment,Food,Lunch unlimited nv,Expense,300.0,-300.0
2022-03-01 14:30:00,2022.0,3.0,2022-03,CUB - online payment,Other,From abi,Income,300.0,300.0
2022-02-01 20:33:00,2022.0,2.0,2022-02,CUB - online payment,Other,Tablet to gowdham,Expense,8.0,-8.0
2022-02-01 20:32:00,2022.0,2.0,2022-02,CUB - online payment,Food,Dinner with barath,Expense,200.0,-200.0
2022-02-01 14:16:00,2022.0,2.0,2022-02,CUB - online payment,Transportation,Train to vnr,Expense,725.0,-725.0
2022-01-01 21:46:00,2022.0,1.0,2022-01,CUB - online payment,Food,Snacks,Expense,85.0,-85.0
2022-01-01 21:45:00,2022.0,1.0,2022-01,CUB - online payment,Allowance,From dad,Income,1000.0,1000.0
,,,,CUB - online payment,Food,To barath,Expense,20.0,-20.0
,,,,CUB - online payment,Transportation,Pg to office,Expense,43.0,-43.0
,,,,CUB - online payment,Other,From kumara,Income,30.0,30.0
,,,,CUB - online payment,Food,Horlicks + kolakattai,Expense,25.0,-25.0
,,,,CUB - online payment,Transportation,Bommasandra to pg,Expense,199.0,-199.0
,,,,CUB - online payment,Other,From Deepak,Income,250.0,250.0
,,,,CUB - online payment,Food,Water,Expense,20.0,-20.0
,,,,CUB - online payment,Other,From abi,Income,20.0,20.0
,,,,CUB - online payment,Transportation,Rapido + toll,Expense,286.0,-286.0
,,,,CUB - online payment,Other,From Deepak,Income,250.0,250.0
,,,,CUB - online payment,Food,Coffee and thattai,Expense,14.0,-14.0
,,,,CUB - online payment,Food,Lunch with barath,Expense,115.0,-115.0
